DDP,DB Commodity Short ETN due April 1,NASDAQ
33.02,33.46,33.51,33.01
33.20,33.11,33.20,33.01
33.01,33.44,33.44,33.00
33.00,33.00,33.00,33.00
33.03,33.00,33.60,33.00
33.62,34.35,34.50,33.50
34.08,33.75,34.09,33.50
34.35,33.40,34.35,33.14
33.10,34.35,34.35,33.10
33.12,35.50,35.98,33.12
36.00,38.50,46.02,34.14
40.00,37.50,48.20,35.55
36.55,40.44,41.00,36.55
40.50,39.16,40.50,37.05
40.00,38.52,40.00,38.26
39.80,39.80,39.80,39.80
38.80,35.80,38.80,35.02
34.98,33.00,34.98,33.00
33.00,33.00,33.10,33.00
33.00,33.90,33.95,33.00
33.90,33.90,33.90,33.90
33.75,33.50,33.75,33.50
33.52,33.99,33.99,33.51
35.50,33.75,35.50,33.70
33.50,33.96,34.00,33.50
34.87,34.10,35.30,34.00
33.51,33.51,33.51,33.51
33.53,34.00,34.00,33.53
34.94,36.79,36.79,33.80
36.80,36.51,38.49,36.50
36.55,38.59,38.59,36.51
39.90,33.22,39.90,32.61
32.73,36.55,36.55,32.24
34.76,32.90,35.00,32.78
32.02,28.00,32.02,26.51
27.36,28.20,28.28,26.70
28.30,28.54,29.00,28.30
28.24,30.35,30.60,28.24
29.89,30.00,30.33,29.40
31.48,31.42,31.56,30.34
32.00,30.01,32.58,29.70
30.00,30.00,30.54,30.00
30.25,29.84,32.50,29.84
30.50,30.50,30.50,30.50
30.50,30.50,30.50,30.50
30.50,29.59,32.36,29.14
29.59,29.59,29.59,29.59
29.60,31.90,31.90,29.14
32.00,32.15,32.15,31.95
32.90,32.46,32.90,32.17
32.70,32.75,32.75,32.55
32.53,32.69,32.69,32.50
32.00,32.75,32.75,32.00
33.35,32.47,33.35,32.47
32.47,32.47,32.47,32.47
32.00,32.24,33.18,32.00
33.22,32.50,33.22,32.01
32.10,32.01,33.46,32.01
32.01,32.01,32.01,32.01
32.50,32.60,32.60,32.00
32.80,32.80,32.80,32.80
33.00,35.71,37.45,32.85
36.64,37.50,37.93,35.75
36.62,34.90,37.94,34.00
35.20,35.02,37.45,35.02
35.26,33.67,35.40,33.00
32.06,31.80,33.10,31.10
31.82,34.95,35.53,31.82
34.95,36.42,36.42,34.50
35.15,34.63,35.85,32.52
32.31,33.50,35.89,32.26
34.20,32.85,34.27,32.00
33.01,35.10,35.36,33.01
34.16,34.79,34.79,32.40
35.46,32.77,35.81,32.47
32.88,32.64,32.88,31.63
32.64,40.00,44.54,32.00
41.99,44.66,47.40,41.51
46.80,45.25,48.05,45.05
46.50,42.00,46.50,40.13
41.14,42.05,45.00,40.25
43.32,52.50,72.40,40.01
50.93,48.66,52.50,41.46
49.08,50.00,50.00,49.08
52.00,45.00,55.60,44.15
43.40,42.12,45.00,42.02
42.12,43.50,47.43,42.12
41.49,40.82,41.54,40.00
42.58,42.00,43.87,38.51
41.00,42.00,43.00,41.00
43.48,40.30,43.48,40.05
39.55,37.51,39.57,37.50
39.44,38.04,39.44,37.20
37.80,37.15,38.60,37.15
37.00,38.55,38.97,36.60
40.00,38.00,40.00,37.46
37.16,37.00,39.87,37.00
36.88,36.50,39.25,36.35
36.02,36.85,37.64,34.00
35.12,34.38,35.50,32.64
36.09,35.77,37.00,34.16
36.00,36.80,36.99,33.61
35.12,35.21,35.39,33.30
34.00,32.34,34.00,31.13
34.72,31.65,34.72,31.53
31.50,31.20,31.95,30.13
30.21,30.70,30.95,30.05
29.55,29.62,30.65,29.02
29.90,30.55,30.60,29.90
30.25,30.30,31.11,30.04
30.15,30.60,31.80,30.15
30.77,30.77,30.77,30.77
30.02,30.20,30.40,30.02
30.10,29.78,30.10,29.64
30.02,30.69,30.99,29.95
30.48,30.59,30.95,30.25
30.60,31.95,31.95,30.60
29.80,30.48,30.48,29.80
29.90,29.91,29.95,29.78
29.77,31.19,31.19,29.55
30.90,30.00,30.90,30.00
29.61,29.29,29.71,29.29
29.41,29.88,30.00,29.41
29.54,29.62,30.00,29.52
28.13,29.08,29.90,28.13
29.13,29.25,29.25,28.95
28.81,28.95,29.24,28.77
28.54,29.01,29.01,28.54
28.74,29.40,29.40,28.74
29.75,29.10,29.80,29.10
29.10,29.00,29.10,27.95
28.50,28.45,28.50,28.10
28.15,29.19,29.45,28.15
28.26,28.91,28.93,28.26
28.24,29.43,29.60,28.24
29.00,29.20,29.20,29.00
29.10,28.68,29.11,28.51
28.68,28.68,28.68,28.68
29.45,29.15,29.49,29.08
29.24,29.44,29.44,29.24
29.18,29.86,29.86,29.18
30.00,30.36,30.36,29.95
29.92,30.14,30.20,29.18
30.30,30.41,30.41,29.68
30.50,30.50,30.50,30.50
30.50,30.50,30.50,30.50
30.24,30.99,30.99,30.24
30.99,30.79,31.53,30.74
32.14,30.74,32.14,30.63
31.80,31.00,32.07,30.71
30.46,31.40,31.40,30.39
30.34,30.54,30.54,30.29
30.58,31.00,31.00,30.58
31.00,31.00,31.39,31.00
30.51,30.29,30.51,30.27
30.03,30.48,30.94,30.03
30.05,30.16,30.39,30.05
30.94,30.15,30.94,30.01
30.16,30.75,30.75,30.16
30.03,30.31,30.60,30.03
30.31,30.31,30.31,30.31
30.06,30.68,30.68,30.06
30.04,30.00,30.10,30.00
30.00,30.00,30.00,30.00
30.20,30.20,30.20,30.20
29.20,30.15,30.30,29.20
29.50,29.51,29.51,29.50
29.11,29.78,29.78,29.11
29.53,29.53,29.53,29.26
29.30,29.97,29.97,29.30
29.69,30.50,30.91,29.69
30.50,30.40,31.52,30.29
30.09,30.08,30.13,30.07
30.13,30.02,30.13,29.88
30.50,30.65,30.65,30.07
30.75,30.60,30.75,30.21
30.16,30.23,30.60,30.16
31.30,31.15,31.83,30.59
32.50,32.33,34.00,32.00
32.54,33.02,33.15,32.40
32.60,32.55,32.95,32.40
33.03,32.79,33.03,32.01
32.75,32.75,32.75,31.81
32.75,32.75,32.75,32.75
32.91,32.31,32.91,32.31
32.25,31.89,32.25,31.00
31.89,31.89,31.89,31.89
31.19,30.65,31.21,30.64
30.32,30.97,31.79,30.07
31.50,32.30,32.42,31.50
32.31,30.56,32.31,30.56
31.30,30.55,31.30,30.03
32.43,30.06,32.43,30.00
30.07,30.50,30.60,30.07
30.21,30.21,30.21,30.21
29.54,30.42,30.49,29.54
30.51,31.40,31.40,30.51
31.28,31.28,31.28,31.28
30.67,30.84,30.84,30.62
30.80,30.63,30.80,30.58
30.88,31.50,31.50,30.88
30.67,30.79,31.06,30.67
30.73,30.28,30.88,29.78
31.00,29.82,31.00,29.82
30.07,30.50,30.69,30.07
30.65,30.80,30.86,30.65
30.60,30.60,30.60,30.60
30.55,30.55,30.55,30.55
30.50,30.50,30.50,30.50
30.50,29.81,30.50,29.19
29.50,29.68,29.76,28.59
28.63,29.27,29.59,28.63
28.83,29.09,29.30,28.83
28.73,28.09,28.73,28.02
28.00,28.00,28.56,27.53
28.68,27.33,29.00,27.04
27.20,27.20,27.20,27.20
