CADC,China Advanced Construction Materials Group,NASDAQ
5.52,5.40,5.52,5.06
5.28,5.04,5.28,5.04
5.40,4.92,5.40,4.92
5.04,5.28,5.40,4.98
5.04,4.92,5.40,4.80
4.80,5.16,5.28,4.80
5.28,5.04,5.28,5.04
4.92,6.37,7.08,4.92
5.40,5.16,5.64,4.32
5.05,4.80,5.27,4.80
5.27,5.04,5.27,4.92
5.18,5.26,5.27,4.99
5.04,5.26,5.26,4.68
5.16,5.16,5.16,4.80
5.04,5.16,5.26,4.92
5.04,4.93,5.04,4.82
5.04,5.04,5.16,4.93
4.93,5.16,5.16,4.86
4.92,4.89,4.92,4.89
4.88,5.16,5.16,4.88
nan,4.93,nan,nan
4.94,4.94,5.16,4.94
5.04,5.06,5.06,4.93
5.04,5.16,5.16,5.04
4.93,4.94,5.04,4.93
4.95,4.98,5.15,4.93
5.04,5.10,5.16,5.04
5.16,4.85,5.16,4.80
4.96,5.10,5.10,4.96
5.10,5.10,5.10,4.95
4.94,5.07,5.07,4.94
4.94,5.15,5.15,4.94
5.10,8.40,8.88,4.94
8.53,6.45,12.48,6.05
7.44,5.64,7.45,5.42
5.52,6.00,6.24,5.40
6.00,6.35,6.35,5.76
6.35,6.03,6.70,5.68
6.00,5.52,6.00,5.41
5.76,5.76,5.88,5.41
5.99,5.28,5.99,4.96
5.28,5.28,5.52,5.20
5.40,5.63,5.75,5.11
5.16,5.52,5.76,5.16
5.16,5.04,5.64,5.04
5.39,7.62,7.80,5.39
8.40,6.12,8.40,5.79
5.78,6.00,6.42,5.78
6.00,6.00,6.58,6.00
6.00,6.04,6.48,6.00
6.48,6.01,6.48,6.00
6.34,6.72,7.34,6.34
7.32,7.08,7.44,6.60
7.32,7.31,7.44,6.61
7.08,6.96,7.08,6.72
6.72,6.72,6.84,6.24
6.24,6.58,6.83,6.24
6.24,6.58,6.84,6.12
6.00,5.76,6.60,5.76
6.60,6.12,6.60,6.12
6.57,6.31,6.72,5.90
6.00,6.57,6.72,5.76
6.57,6.40,6.57,5.88
