OSIS,OSI Systems,NASDAQ
65.33,67.92,68.00,65.26
67.48,66.86,67.65,66.61
67.10,66.59,67.89,66.28
67.64,66.96,67.64,65.88
66.81,66.73,67.53,65.47
66.11,65.52,66.29,65.47
65.51,65.77,66.07,64.07
65.27,65.00,65.70,64.28
64.29,65.15,66.00,64.08
65.54,65.50,66.14,64.89
65.91,65.66,66.16,65.13
65.13,65.46,66.15,64.85
65.77,66.45,67.00,65.34
66.95,66.66,67.43,66.46
66.57,65.06,66.62,64.98
65.04,63.37,65.25,63.10
63.61,64.29,64.41,62.70
64.22,65.77,66.44,64.21
64.94,64.98,65.34,63.46
64.77,64.64,64.98,63.79
64.57,65.25,65.76,64.31
65.49,64.64,65.79,63.20
64.21,63.70,64.35,63.62
64.00,63.82,64.14,62.57
62.56,62.30,63.65,62.11
62.35,61.02,62.55,60.60
60.88,62.58,62.58,60.43
62.80,62.78,63.13,61.97
63.95,64.46,64.75,63.50
64.26,66.68,67.38,64.26
67.31,62.92,67.31,62.89
63.15,64.45,64.63,62.93
64.18,63.74,65.17,63.50
63.62,64.74,64.76,63.62
64.31,64.59,65.00,64.26
64.06,64.63,65.07,64.00
64.80,63.36,64.88,62.97
63.45,63.52,64.04,63.11
63.34,62.45,63.48,62.30
62.77,62.29,63.14,62.24
61.66,61.39,62.10,61.20
61.35,62.25,62.77,61.14
62.53,61.67,62.76,61.32
61.20,60.92,61.79,59.64
61.96,63.34,63.41,61.58
63.88,63.60,63.89,62.52
63.47,65.00,65.06,62.87
64.40,65.27,65.35,64.18
64.64,64.27,65.05,63.62
64.09,64.94,65.37,63.82
64.33,62.98,64.47,62.97
63.18,61.60,63.48,61.27
61.23,62.59,62.94,61.01
62.96,63.64,64.15,62.68
63.54,63.16,63.70,62.64
63.86,63.56,64.21,63.30
63.56,64.38,64.50,63.44
64.39,64.57,64.90,64.03
64.02,62.87,64.03,62.67
62.10,61.99,62.31,61.52
62.34,61.88,62.34,61.23
62.52,62.48,63.01,61.75
63.25,63.38,63.65,61.65
63.82,65.27,65.69,63.18
65.37,65.10,65.53,64.52
65.10,64.54,65.37,64.30
65.10,63.10,65.10,63.10
63.16,63.81,63.93,62.50
64.44,65.16,65.92,63.55
65.58,65.25,65.91,65.06
65.39,65.17,65.74,64.98
65.13,64.44,65.19,64.34
66.10,71.26,71.44,65.59
71.30,71.50,72.47,70.36
71.50,73.49,73.61,71.17
73.70,72.07,74.28,71.38
72.90,73.56,75.00,72.64
73.27,73.83,74.30,72.43
73.76,73.96,74.17,73.39
73.52,73.40,73.68,72.01
73.43,73.39,74.30,72.81
73.05,72.90,73.45,72.87
72.80,73.43,73.76,72.80
73.04,73.54,73.94,73.04
73.69,73.66,73.90,73.11
73.42,73.23,73.42,72.90
73.28,73.60,73.80,73.01
73.40,73.24,73.60,73.08
73.46,74.10,74.26,72.76
74.27,74.69,74.97,73.00
73.67,74.39,75.99,73.11
74.60,74.56,74.84,73.48
74.99,75.10,75.26,74.06
74.90,73.95,75.39,73.84
73.73,73.91,73.92,73.04
73.68,73.64,74.20,73.07
73.60,74.31,74.90,73.20
74.83,74.17,75.73,73.95
74.16,74.47,74.60,73.27
74.18,76.19,76.29,74.18
76.50,76.43,77.30,75.76
75.87,76.99,77.07,75.40
77.99,77.55,78.58,77.00
77.41,76.45,77.41,76.15
76.60,75.71,77.86,75.43
75.71,75.14,76.24,74.12
75.45,78.65,78.88,75.21
78.62,77.84,78.72,77.77
78.55,76.66,78.93,76.47
77.19,76.54,77.43,76.27
76.89,75.93,76.89,75.76
76.31,75.87,76.35,74.39
76.23,75.97,77.37,75.69
75.86,75.76,75.99,75.22
75.45,75.25,75.58,74.65
75.15,75.81,75.94,75.07
76.35,75.51,77.18,75.29
75.32,75.64,76.38,75.10
75.64,76.06,76.28,75.25
76.61,77.79,78.28,76.53
78.26,79.17,79.28,78.14
79.74,78.29,79.90,77.82
77.52,75.62,77.58,75.20
75.22,76.83,77.26,74.63
75.82,79.62,79.86,75.63
80.71,79.09,80.92,78.50
79.50,80.89,80.98,78.93
80.50,79.76,81.23,79.65
79.76,79.25,80.21,79.01
79.08,79.14,79.55,78.68
79.28,78.35,80.01,78.23
78.18,79.48,80.00,78.02
79.48,80.50,80.94,79.48
79.46,78.56,79.46,77.19
78.50,77.28,79.35,76.55
76.82,77.74,78.29,76.80
77.68,78.51,79.21,77.64
77.86,77.06,78.34,76.68
77.10,76.29,77.17,76.00
75.26,54.89,75.26,48.51
58.00,63.94,64.85,57.75
64.44,62.24,64.61,61.84
62.45,61.84,63.21,61.35
62.21,62.44,62.78,61.68
62.64,62.11,63.22,61.74
61.80,60.70,63.17,60.03
60.83,60.77,61.78,59.42
60.39,61.55,61.71,59.32
62.31,61.38,62.31,60.85
61.71,61.28,61.94,60.14
61.51,61.15,61.86,58.06
61.35,61.27,61.88,60.55
61.47,60.85,61.62,60.39
60.64,60.45,61.28,60.01
60.86,60.85,61.32,60.30
60.99,60.34,60.99,59.49
60.78,61.02,61.24,60.20
61.14,60.71,61.43,60.40
60.70,60.72,61.04,59.79
60.39,60.34,60.98,59.92
60.34,60.22,60.74,59.86
60.18,61.50,61.56,60.15
61.24,61.02,61.50,60.04
60.88,62.80,63.29,60.63
