BWV,iPath Goldman Sachs Barclays Bank PLC iPath Exchange Traded Notes Linked to the CBOE S&P 500 BuyWrite Index Structured Product,NASDAQ
55.93,56.00,56.05,55.93
nan,56.00,nan,nan
55.58,55.93,56.00,55.58
55.65,55.95,55.95,55.65
55.92,55.92,55.92,55.92
55.96,56.10,56.10,55.95
nan,56.10,nan,nan
56.00,56.00,56.00,56.00
nan,56.00,nan,nan
nan,56.00,nan,nan
56.52,56.35,56.52,56.10
56.35,56.35,56.35,56.35
nan,56.35,nan,nan
55.82,56.07,56.07,55.81
nan,56.07,nan,nan
nan,56.07,nan,nan
nan,56.07,nan,nan
nan,56.07,nan,nan
nan,56.07,nan,nan
nan,56.07,nan,nan
55.45,55.06,55.45,54.92
55.40,54.83,55.40,54.83
55.70,55.70,55.70,55.70
nan,55.70,nan,nan
56.24,56.03,56.24,56.00
56.19,55.30,56.19,55.30
55.37,55.37,55.37,55.36
55.85,55.85,55.85,55.85
56.44,56.17,56.48,56.17
nan,56.17,nan,nan
56.24,56.24,56.24,55.98
55.00,54.62,55.00,54.62
54.55,54.42,54.55,54.17
54.01,54.10,54.45,53.89
54.54,54.54,54.54,54.54
55.00,54.61,55.00,54.61
54.80,54.80,55.05,54.80
55.02,55.05,55.05,54.92
55.15,55.42,55.46,55.15
nan,55.42,nan,nan
nan,55.42,nan,nan
nan,55.42,nan,nan
nan,55.42,nan,nan
54.96,54.96,54.96,54.96
55.79,55.72,55.83,55.23
55.23,55.34,55.34,55.23
55.48,55.82,55.82,55.48
55.71,55.69,55.71,55.69
55.55,55.55,55.55,55.55
55.42,55.39,55.42,55.39
nan,55.39,nan,nan
nan,55.39,nan,nan
55.68,55.60,55.68,55.39
nan,55.60,nan,nan
55.88,55.88,55.88,55.88
55.77,55.77,55.77,55.77
nan,55.77,nan,nan
nan,55.77,nan,nan
