MBCN,Middlefield Banc Corp. - Common Stock,NASDAQ
23.50,25.00,25.00,23.50
25.00,25.00,25.00,25.00
25.00,25.00,25.00,25.00
24.50,24.50,24.50,24.50
23.77,22.15,23.77,22.15
22.20,22.20,22.20,22.20
22.20,22.20,22.20,22.20
22.20,22.20,22.20,22.20
22.41,22.41,22.41,22.41
22.41,22.41,22.41,22.41
22.41,22.41,22.41,22.41
22.94,22.95,22.95,22.94
22.41,22.50,22.50,22.41
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.75,22.51,22.75,22.51
22.95,22.95,22.95,22.95
22.95,22.95,22.95,22.95
22.95,22.95,22.95,22.95
22.95,22.95,22.95,22.95
22.95,22.95,22.95,22.95
22.95,22.95,22.95,22.95
22.95,22.95,22.95,22.95
22.95,22.95,22.95,22.95
22.95,22.95,22.95,22.95
22.95,22.95,22.95,22.95
22.37,22.37,22.37,22.37
22.37,22.37,22.37,22.37
22.50,22.50,22.85,22.50
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
22.40,22.50,22.50,22.36
22.54,22.75,22.75,22.54
22.75,22.75,22.75,22.75
23.25,23.25,23.25,23.25
23.25,23.25,23.25,23.25
23.25,23.25,23.25,23.25
23.25,23.25,23.25,23.25
23.25,23.25,23.25,23.25
23.25,23.25,23.25,23.25
23.01,23.01,23.01,23.01
23.01,23.01,23.01,23.01
23.01,23.01,23.01,23.01
23.01,23.01,23.01,23.01
23.01,23.01,23.01,23.01
23.01,23.01,23.01,23.01
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
22.50,22.50,22.50,22.50
22.50,22.50,22.50,22.50
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.00,23.00,23.00,23.00
23.65,23.65,23.65,23.65
24.00,22.75,24.00,22.75
22.75,22.75,22.75,22.67
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
23.25,23.25,23.25,23.25
23.25,23.25,23.25,23.25
23.25,23.25,23.25,23.25
23.25,23.25,23.25,23.25
22.50,22.50,22.50,22.50
22.25,22.25,22.25,22.25
22.25,22.25,22.25,22.25
22.25,22.25,22.25,22.25
22.25,22.25,22.25,22.25
22.50,22.50,22.50,22.50
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
22.75,22.75,22.75,22.75
24.00,24.00,24.00,23.07
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
25.25,25.25,25.25,25.25
25.25,24.00,25.25,24.00
24.00,24.00,24.00,24.00
24.00,24.00,24.00,24.00
26.70,26.70,26.70,26.70
26.70,24.50,26.70,24.17
25.95,25.95,25.95,25.95
