DIA,SPDR Dow Jones Industrial Average ETF,NASDAQ
128.17,129.64,129.75,127.47
130.23,130.14,130.54,129.51
130.25,130.10,130.46,129.78
130.69,129.55,130.80,129.49
129.61,129.39,130.14,129.30
129.71,130.24,130.82,129.16
130.34,130.74,130.80,130.09
131.30,131.56,131.61,130.82
131.59,131.74,132.01,131.57
132.21,132.50,133.12,132.18
132.98,132.51,133.34,132.33
132.53,131.82,132.72,131.55
131.70,131.46,132.00,131.26
131.65,132.44,132.52,131.63
132.68,133.55,133.73,132.38
133.67,132.62,133.70,132.60
132.57,133.19,133.28,132.27
131.06,131.79,132.02,130.83
131.29,130.97,131.42,130.97
131.29,130.81,131.48,130.47
130.94,130.60,131.14,129.34
129.82,129.07,130.45,128.97
128.66,130.58,130.90,128.54
132.99,133.77,133.86,132.89
133.64,133.63,134.05,133.31
133.70,134.06,134.20,133.49
133.69,133.51,133.73,133.16
133.32,133.06,133.50,132.74
133.40,133.71,133.98,133.40
134.20,134.54,134.58,133.63
134.46,134.72,134.80,134.21
134.66,134.89,135.00,134.40
134.29,135.08,135.26,134.24
134.62,134.89,135.05,134.54
135.37,135.83,136.19,135.23
135.81,136.09,136.16,135.42
136.13,136.74,136.77,135.92
137.19,137.46,137.63,137.14
137.59,138.02,138.49,137.57
138.39,138.62,138.63,138.04
138.85,138.65,138.88,138.30
138.44,139.23,139.38,138.44
139.23,138.76,139.37,138.67
138.76,138.41,140.22,138.32
139.29,139.74,139.89,139.04
138.81,138.57,138.98,138.36
139.24,139.39,139.85,139.21
138.88,139.58,139.70,138.88
139.59,139.29,139.64,138.32
139.37,139.73,140.03,139.37
139.62,139.52,139.68,139.21
139.59,140.05,140.21,139.51
140.23,139.87,140.36,139.50
139.38,139.86,139.96,139.26
139.51,139.45,139.71,138.75
139.56,139.97,140.16,139.52
140.00,138.88,140.28,138.88
138.65,138.51,138.88,138.06
139.24,139.81,139.83,138.86
140.33,137.66,140.59,137.60
138.35,138.78,138.96,137.98
138.74,140.60,140.87,138.64
140.45,140.28,141.31,140.18
139.89,140.74,140.90,139.17
140.36,141.07,141.10,140.10
141.69,142.34,142.68,141.69
142.91,142.84,143.07,142.49
142.98,143.14,143.39,142.90
143.95,143.76,144.02,143.21
143.73,144.36,144.36,143.61
144.29,144.40,144.70,144.03
144.44,144.46,144.71,144.09
144.81,145.33,145.35,144.76
144.82,144.82,144.89,144.39
143.85,144.17,144.88,143.70
144.51,144.30,144.83,143.48
144.86,144.81,145.15,144.59
144.12,143.89,144.59,143.49
144.31,144.90,144.94,144.28
145.09,144.21,145.32,143.60
144.67,145.28,145.29,144.63
144.35,144.96,145.09,144.06
145.01,145.32,145.53,144.84
145.30,145.38,145.73,144.97
145.87,146.27,146.50,145.78
146.24,145.14,146.47,144.95
145.36,145.77,145.98,145.09
144.18,145.31,145.51,144.05
145.32,145.95,145.95,144.76
146.08,146.51,146.96,145.75
146.98,147.78,148.06,146.96
147.82,148.40,148.66,147.63
147.99,148.42,148.46,147.68
147.90,145.81,147.93,145.72
146.98,147.36,147.39,146.37
146.55,145.95,146.60,145.37
146.10,145.18,146.12,144.77
144.71,145.14,145.21,144.36
145.38,145.32,145.57,144.24
146.13,146.80,146.90,145.15
147.02,146.45,147.21,146.39
146.64,146.76,147.42,146.36
146.55,146.88,147.15,146.52
147.20,147.86,148.15,146.91
147.87,148.02,148.11,147.05
147.56,146.74,147.81,146.58
147.12,147.96,148.05,146.91
149.26,149.36,149.82,149.20
149.36,149.43,149.60,149.14
