SLMBP,SLM Corporation - Floating Rate Non-Cumulative Preferred Stock,NASDAQ
62.95,62.65,62.95,62.00
62.53,62.68,62.74,62.29
62.35,62.40,62.75,62.35
62.60,62.60,62.60,62.60
63.77,63.40,63.77,62.92
64.05,63.85,64.05,62.50
62.94,63.50,63.50,62.19
63.00,63.75,63.75,63.00
64.46,64.00,64.46,63.94
64.48,63.75,64.48,62.89
63.49,63.50,63.50,63.49
64.00,63.10,64.00,63.00
63.50,63.46,63.74,62.45
62.38,63.50,64.00,62.04
63.50,63.50,63.50,63.50
64.49,61.89,68.24,59.50
61.73,67.00,67.47,61.73
67.50,70.09,70.25,66.25
