GST,Gastar Exploration Inc Common Stock,NASDAQ
1.91,1.92,1.94,1.89
1.91,1.74,1.93,1.73
1.94,2.01,2.01,1.75
2.12,1.89,2.12,1.86
1.90,1.96,1.99,1.88
1.97,1.93,2.03,1.92
1.90,1.98,2.01,1.88
2.01,1.93,2.01,1.89
1.80,2.05,2.05,1.80
2.03,2.04,2.04,1.98
2.01,2.01,2.02,1.95
1.94,1.97,2.03,1.94
1.96,1.97,1.99,1.96
1.99,1.95,2.00,1.89
1.94,1.92,1.99,1.85
1.89,1.86,1.90,1.85
1.87,1.97,1.97,1.87
1.97,1.96,2.00,1.94
1.97,1.96,1.97,1.89
1.95,1.96,1.98,1.85
1.97,1.90,1.97,1.87
1.87,1.86,1.91,1.85
1.85,1.83,1.89,1.81
1.85,1.87,1.90,1.84
1.90,1.85,1.90,1.85
1.89,1.89,1.90,1.86
1.88,1.96,1.97,1.86
1.95,1.91,2.00,1.91
1.96,1.95,1.98,1.91
1.96,1.87,1.98,1.87
1.93,1.83,1.94,1.83
1.85,1.93,1.94,1.85
1.93,1.93,1.94,1.87
1.94,1.91,1.99,1.88
1.90,1.97,1.98,1.90
1.96,1.98,2.02,1.95
1.97,1.90,2.00,1.90
1.90,1.91,1.95,1.89
1.93,1.83,1.95,1.82
1.83,1.82,1.86,1.80
1.83,1.78,1.85,1.75
1.77,1.75,1.79,1.74
1.75,1.75,1.79,1.72
1.77,1.79,1.80,1.75
1.79,1.72,1.79,1.69
1.71,1.71,1.73,1.68
1.70,1.66,1.70,1.64
1.67,1.66,1.67,1.63
1.66,1.65,1.67,1.63
1.68,1.61,1.68,1.60
1.60,1.55,1.61,1.55
1.58,1.60,1.63,1.56
1.59,1.56,1.60,1.55
1.61,1.59,1.64,1.56
1.63,1.72,1.72,1.60
1.72,1.77,1.82,1.70
1.79,1.82,1.83,1.74
1.82,1.83,1.86,1.80
1.83,1.87,1.87,1.83
1.96,1.89,1.96,1.78
1.91,1.88,1.92,1.85
1.86,1.84,1.91,1.81
1.86,1.84,1.87,1.76
1.86,1.84,1.86,1.76
1.81,1.84,1.86,1.79
1.88,1.82,1.89,1.76
1.80,1.80,1.83,1.78
1.80,1.73,1.83,1.72
1.73,1.71,1.76,1.68
1.69,1.69,1.73,1.65
1.67,1.66,1.70,1.66
1.67,1.73,1.78,1.67
1.75,1.67,1.75,1.65
1.65,1.25,1.65,1.17
1.27,1.35,1.41,1.27
1.37,1.28,1.40,1.28
1.26,1.35,1.37,1.25
1.36,1.30,1.39,1.29
1.30,1.26,1.32,1.25
1.28,1.27,1.30,1.26
1.26,1.25,1.29,1.25
1.25,1.23,1.27,1.23
1.23,1.23,1.25,1.22
1.23,1.21,1.24,1.19
1.21,1.11,1.21,1.11
1.13,1.09,1.13,1.02
1.05,1.10,1.12,1.02
1.09,1.08,1.14,1.07
1.08,1.08,1.12,1.05
1.10,1.09,1.12,1.05
1.10,1.06,1.11,1.06
1.05,1.12,1.12,1.05
1.11,1.14,1.15,1.10
1.11,1.08,1.15,1.05
1.07,1.05,1.08,1.03
1.01,1.06,1.08,1.01
1.04,0.97,1.06,0.94
0.97,0.89,1.00,0.89
