VOT,Vanguard Mid-Cap Growth ETF - DNQ,NASDAQ
64.36,63.83,64.46,63.62
63.76,63.40,63.76,62.58
61.88,61.19,62.26,61.11
61.29,61.11,61.60,60.32
60.77,61.93,62.07,60.77
62.50,63.38,63.45,62.50
64.28,63.04,64.37,62.94
62.84,63.55,63.59,62.38
64.32,62.30,64.32,62.28
62.52,63.11,63.12,62.10
62.85,62.14,63.14,61.94
62.21,62.64,62.87,62.03
62.83,63.53,63.61,62.73
63.30,64.19,64.30,63.03
64.51,64.97,65.22,64.45
64.97,64.74,65.16,64.36
64.62,62.80,64.72,62.72
63.13,63.29,63.47,62.72
62.50,62.13,62.60,61.78
62.23,62.53,62.71,61.92
62.70,62.81,62.96,62.48
62.26,62.39,62.54,61.57
63.72,64.37,64.38,63.61
64.58,64.52,64.66,63.98
64.54,65.31,65.41,64.54
65.24,65.44,65.70,64.91
64.76,64.34,64.76,63.92
64.17,63.90,64.31,63.61
64.25,63.07,64.41,62.75
62.99,62.77,63.24,62.39
62.16,62.64,62.92,61.75
62.80,63.54,63.65,62.80
63.37,63.24,63.46,62.85
63.52,63.73,63.77,62.78
63.55,64.35,64.65,63.55
64.63,64.81,65.09,64.31
64.35,63.82,64.35,63.78
62.79,63.00,63.13,62.10
63.02,61.99,63.06,61.55
62.20,62.15,62.55,61.77
63.05,63.40,63.55,62.77
63.81,64.80,65.03,63.78
64.72,64.47,65.05,64.26
64.34,63.90,64.50,63.90
64.17,63.47,64.17,63.36
63.13,62.98,63.59,62.48
64.16,64.47,64.65,64.02
64.66,64.81,65.04,64.66
65.23,65.83,66.10,65.23
65.52,65.81,65.98,65.47
65.78,65.88,66.10,65.66
65.49,65.87,65.87,65.41
65.64,65.68,65.83,65.23
66.00,65.66,66.10,65.46
65.55,66.06,66.12,65.55
66.09,66.78,66.93,66.06
66.91,67.04,67.05,66.79
66.94,66.61,66.94,66.36
66.82,66.59,67.22,66.38
66.43,66.58,66.78,66.22
66.34,66.14,66.45,65.96
65.93,66.33,66.51,65.81
66.63,66.29,66.78,66.23
66.23,66.38,66.54,66.06
66.45,66.53,66.68,66.17
66.13,65.89,66.14,65.72
66.38,66.29,66.48,65.68
66.32,66.44,66.67,65.71
66.43,66.30,66.55,66.12
66.66,67.77,67.93,66.66
67.85,68.27,68.35,67.85
68.06,67.88,68.38,67.85
67.90,68.00,68.18,67.84
68.25,68.34,68.42,68.05
68.46,69.10,69.40,68.06
69.41,69.87,70.23,69.41
69.56,69.35,69.71,69.20
69.18,68.95,69.22,68.77
69.12,69.23,69.37,68.84
68.73,68.85,68.87,68.36
69.35,68.89,69.45,68.89
68.43,68.40,68.62,68.30
68.75,67.46,68.75,67.44
67.44,66.89,67.44,66.51
67.22,67.83,67.95,67.09
67.52,67.75,67.87,67.23
68.05,67.70,68.35,67.52
68.08,67.83,68.08,67.50
68.00,67.94,68.11,67.60
68.23,68.47,68.47,67.94
68.84,68.39,69.09,68.24
68.10,68.25,68.49,68.05
68.03,67.26,68.15,67.26
67.25,66.78,67.28,66.70
67.33,67.18,67.74,67.09
67.29,66.87,67.34,66.71
67.03,67.31,67.35,66.68
67.66,68.08,68.11,67.52
67.99,68.20,68.32,67.95
68.01,68.07,68.31,67.81
67.76,66.92,67.84,66.74
66.71,66.71,67.00,66.25
66.00,66.13,66.37,65.44
66.40,65.87,66.40,65.78
66.36,66.01,66.49,65.66
66.06,66.05,66.36,65.55
66.14,66.10,66.39,65.81
66.15,67.43,67.44,66.15
67.68,66.61,67.75,66.60
66.57,67.04,67.14,66.43
67.31,67.53,67.74,67.12
66.70,66.28,66.87,65.92
66.24,65.31,66.37,65.30
65.06,65.46,66.09,65.00
65.73,65.39,65.73,65.29
65.00,65.39,65.96,64.62
65.65,64.38,65.66,64.30
64.28,64.31,64.59,63.85
64.42,64.71,64.87,64.02
65.51,66.02,66.02,65.49
65.93,66.08,66.24,65.73
66.26,66.31,66.40,66.09
66.76,67.06,67.06,66.58
66.88,66.89,67.06,66.58
66.89,66.62,67.05,66.58
66.33,67.11,67.14,66.00
67.36,67.43,67.53,67.06
67.51,67.46,67.71,67.23
67.86,67.00,67.94,66.97
67.12,67.09,67.20,66.69
67.24,67.11,67.29,66.55
67.04,67.45,67.46,66.75
67.60,67.60,67.76,67.33
67.51,67.83,67.91,67.51
68.07,68.34,68.50,68.03
68.55,68.46,68.84,68.35
68.35,68.03,68.68,67.89
67.88,67.90,68.14,67.78
68.12,68.58,68.58,68.10
68.74,69.52,69.57,68.72
69.64,69.32,69.73,69.32
69.54,69.69,69.69,69.19
68.60,69.08,69.19,68.50
68.43,68.46,68.83,68.25
68.60,67.95,68.60,67.89
68.02,68.03,68.14,67.20
67.51,67.39,67.91,67.39
67.35,68.58,68.69,67.24
70.17,70.25,70.27,69.70
70.27,70.33,70.77,70.03
70.60,70.85,70.92,70.32
70.49,70.66,70.75,70.43
70.63,70.56,70.74,70.21
70.88,70.87,71.00,70.71
71.27,71.01,71.30,70.63
71.01,71.08,71.14,70.79
71.09,71.09,71.30,70.87
70.75,71.43,71.43,70.70
71.28,71.27,71.40,71.06
71.70,71.82,71.97,71.55
71.88,71.99,72.00,71.58
72.00,72.28,72.29,71.78
72.34,72.30,72.38,72.12
72.37,72.88,73.17,72.37
73.22,73.72,73.74,73.18
73.93,73.41,73.99,73.29
73.35,73.36,73.40,72.94
73.40,73.02,73.59,72.98
73.00,73.12,73.31,72.81
73.64,73.78,73.93,73.44
73.40,72.98,73.66,72.97
73.40,73.66,73.78,73.26
73.44,74.06,74.06,73.44
73.99,73.78,74.03,73.25
73.85,74.24,74.25,73.85
74.18,74.10,74.23,73.90
74.13,74.15,74.29,74.04
74.23,74.25,74.44,74.04
74.11,74.49,74.52,74.00
74.54,74.46,74.73,74.30
74.52,74.84,74.85,74.52
74.84,73.59,74.84,73.57
73.36,72.75,73.54,72.41
73.13,73.67,73.67,73.13
74.17,72.34,74.19,72.34
72.66,72.82,72.91,72.04
72.91,74.06,74.28,72.91
74.06,74.01,74.58,74.01
73.70,74.20,74.27,73.27
73.94,74.55,74.55,73.84
74.91,75.29,75.43,74.91
75.76,75.44,75.86,75.35
75.51,75.73,75.78,75.45
76.15,76.35,76.38,75.69
76.16,76.39,76.43,76.04
76.27,76.13,76.32,75.91
76.23,76.51,76.60,76.06
76.69,76.98,76.99,76.67
76.80,76.53,76.99,76.43
75.87,76.19,76.49,75.54
76.44,75.90,76.53,75.32
76.53,76.68,76.81,76.31
76.26,75.96,76.53,75.85
76.24,76.22,76.35,76.05
76.44,75.92,76.62,75.58
76.32,76.52,76.52,76.08
76.10,76.63,76.68,75.78
