IDSA,Industrial Services of America,NASDAQ
4.15,4.07,4.15,4.07
4.06,4.08,4.14,4.06
4.07,4.02,4.07,4.02
4.01,3.78,4.01,3.42
3.66,3.66,3.98,3.61
3.71,3.62,3.95,3.62
3.45,3.47,3.60,3.03
3.34,3.13,3.39,3.10
3.15,3.49,3.49,3.02
3.57,3.83,3.92,3.45
4.00,3.94,4.00,3.84
3.91,3.85,3.91,3.66
3.71,3.83,3.84,3.70
3.71,3.75,3.85,3.70
3.66,3.55,3.66,3.50
3.60,3.59,3.62,3.59
3.61,3.64,3.65,3.59
3.57,3.64,3.65,3.57
3.55,3.55,3.55,3.55
3.48,3.51,3.64,3.48
3.48,3.50,3.65,3.48
3.42,3.36,3.50,3.30
3.36,3.55,3.55,3.36
3.46,3.44,3.62,3.39
3.37,3.46,3.47,3.37
3.40,3.37,3.47,3.35
3.35,3.36,3.49,3.35
3.37,3.44,3.47,3.37
3.38,3.36,3.55,3.36
3.36,3.38,3.40,3.36
3.38,3.49,3.50,3.38
3.42,3.40,3.50,3.36
3.40,3.40,3.50,3.39
3.41,3.49,3.49,3.40
3.41,3.36,3.50,3.36
3.42,3.54,3.54,3.42
3.45,3.55,3.78,3.45
3.52,3.65,3.80,3.44
3.57,3.66,3.66,3.57
3.65,3.66,3.66,3.65
3.63,3.82,3.82,3.61
3.69,3.77,3.82,3.57
3.68,3.94,4.00,3.52
3.94,3.74,3.94,3.74
3.77,3.48,3.88,3.36
3.46,3.38,3.46,3.38
3.37,3.52,3.56,3.36
3.44,3.81,3.81,3.44
3.62,3.60,3.73,3.59
3.58,3.41,3.63,3.11
3.34,3.57,3.58,3.28
3.57,3.59,3.59,3.51
3.62,3.62,3.79,3.60
3.62,3.62,3.62,3.62
3.62,3.75,3.80,3.45
3.75,3.75,3.75,3.75
3.74,3.63,3.74,3.49
3.41,3.62,3.71,3.39
3.53,3.38,3.53,3.38
3.41,3.38,3.51,3.18
3.49,3.25,3.51,3.18
3.27,3.61,3.61,3.26
3.57,3.60,3.79,3.48
3.60,3.60,3.60,3.60
3.55,3.70,3.70,3.55
3.62,3.54,3.62,3.54
3.50,3.35,3.59,3.32
3.26,3.27,3.36,3.12
3.32,3.24,3.73,3.13
3.20,3.13,3.34,3.11
3.11,3.11,3.49,3.11
3.13,3.14,3.22,2.99
3.00,3.14,3.14,3.00
3.13,3.05,3.13,2.97
3.01,3.00,3.01,2.80
3.00,3.00,3.00,3.00
2.99,2.78,2.99,2.60
2.73,2.63,2.77,2.62
2.64,2.63,2.78,2.61
2.66,2.63,2.78,2.52
2.56,2.56,2.68,2.55
2.57,2.49,2.57,2.40
2.49,2.36,2.49,2.25
2.42,2.32,2.42,2.26
2.26,2.26,2.45,2.25
2.20,2.31,2.43,2.20
2.30,2.23,2.30,2.16
2.23,2.14,2.23,2.10
2.14,2.34,2.43,2.03
2.34,2.34,2.40,2.11
2.25,2.49,2.63,2.08
2.50,2.49,2.55,2.32
2.45,2.48,2.65,2.39
2.44,2.43,2.50,2.41
2.45,2.46,2.53,2.44
2.40,2.40,2.45,2.30
2.36,2.45,2.49,2.32
2.40,2.41,2.44,2.32
2.32,2.40,2.40,2.26
2.35,2.23,2.35,2.23
2.25,2.40,2.45,2.25
2.39,2.40,2.53,2.34
2.39,2.49,2.49,2.39
2.50,2.35,2.50,2.35
2.48,2.36,2.49,2.35
2.39,2.46,2.46,2.35
2.48,2.47,2.51,2.39
2.47,2.67,2.75,2.47
2.68,2.75,2.80,2.65
2.74,2.67,2.74,2.67
2.62,2.75,2.75,2.60
2.72,2.62,2.72,2.58
2.75,3.07,3.11,2.75
3.32,3.45,3.87,3.10
3.36,3.47,3.60,3.21
3.01,3.82,3.99,3.00
3.72,3.80,3.82,3.68
3.80,3.65,3.80,3.59
3.62,3.43,3.62,3.41
3.49,3.22,3.59,3.22
3.21,3.29,3.30,3.21
3.29,3.11,3.30,3.06
3.10,3.15,3.15,3.07
3.20,3.26,3.48,3.19
3.23,3.32,3.32,3.23
3.31,3.31,3.31,3.31
3.34,3.26,3.34,3.25
3.19,3.44,3.50,3.19
3.50,3.45,3.62,3.45
3.60,3.56,3.63,3.50
3.61,3.48,3.61,3.48
3.53,3.50,3.56,3.46
3.43,3.40,3.58,3.31
3.36,3.29,3.45,3.29
3.30,3.22,3.30,3.12
3.23,3.14,3.23,3.14
3.55,3.17,3.55,3.11
3.25,3.05,3.32,3.02
3.04,3.18,3.40,3.04
3.08,3.05,3.15,3.05
3.04,3.00,3.05,3.00
3.00,2.86,3.00,2.78
2.91,2.92,2.95,2.91
2.94,2.93,2.98,2.93
2.90,2.89,2.90,2.87
2.98,2.90,3.11,2.87
3.00,3.13,3.14,2.98
3.18,3.35,3.36,3.18
3.50,3.25,3.50,3.13
3.21,3.24,3.39,3.19
3.36,3.16,3.36,3.13
3.16,3.16,3.26,3.14
3.20,3.34,3.34,3.18
3.34,3.34,3.35,3.34
3.35,3.25,3.35,3.25
3.20,3.10,3.20,3.00
3.06,3.07,3.13,3.06
3.06,3.05,3.06,2.94
3.11,3.15,3.22,3.09
3.13,3.02,3.13,2.91
2.88,3.19,3.19,2.87
3.34,3.60,3.70,3.34
3.60,3.43,3.69,3.33
3.33,3.20,3.41,2.67
3.16,3.12,3.26,3.10
3.05,3.13,3.14,3.05
3.14,3.32,3.39,3.14
3.34,3.34,3.39,3.34
3.17,3.34,3.38,3.17
3.35,3.49,3.49,3.35
3.48,3.34,3.48,3.34
3.29,3.38,3.48,3.29
3.28,3.27,3.28,3.27
3.25,3.20,3.25,3.20
3.20,3.20,3.20,3.20
3.49,3.20,3.49,3.13
3.20,3.19,3.20,3.13
3.14,3.10,3.14,3.08
3.07,3.11,3.11,3.07
3.12,3.20,3.20,3.12
3.15,3.08,3.15,3.08
3.15,3.09,3.15,3.01
3.10,3.20,3.20,3.10
2.82,2.99,3.00,2.82
3.03,3.10,3.18,3.00
3.13,3.11,3.14,3.11
3.05,3.01,3.17,3.01
3.05,3.16,3.16,2.99
3.34,3.20,3.34,3.20
3.18,3.28,3.34,2.98
3.26,3.02,3.31,2.90
3.16,3.16,3.25,3.15
3.16,3.23,3.27,3.16
3.16,3.25,3.30,3.15
3.15,2.99,3.26,2.99
3.00,3.09,3.24,3.00
3.00,3.03,3.10,2.97
3.01,3.01,3.07,3.00
3.05,3.01,3.06,3.01
2.93,3.19,3.19,2.92
3.08,3.25,3.35,3.06
3.26,3.18,3.33,3.14
3.20,3.19,3.35,3.19
3.25,3.25,3.26,3.24
3.30,3.25,3.31,3.25
3.31,3.31,3.36,3.27
3.35,3.50,3.50,3.35
3.50,3.34,3.50,3.34
3.38,3.29,3.38,3.25
3.34,3.25,3.47,3.25
3.20,3.30,3.33,3.19
3.30,3.30,3.30,3.30
3.23,3.00,3.27,2.96
3.03,3.11,3.11,3.03
