MKL,Markel Corporation Common Stock,NASDAQ
481.28,484.19,484.51,475.60
479.30,480.50,484.96,478.30
480.50,487.20,489.09,478.57
488.00,492.25,493.00,485.07
492.00,500.68,500.68,491.07
496.20,499.52,502.20,495.00
498.11,476.55,498.11,474.04
476.40,475.87,479.25,471.86
473.90,479.45,480.48,470.29
480.00,482.00,482.99,477.01
479.93,485.25,487.44,476.48
486.40,485.75,487.09,481.31
487.70,488.99,488.99,485.18
486.94,489.40,490.78,481.18
488.25,489.15,491.50,486.50
489.00,490.27,492.00,486.52
492.48,488.01,493.39,487.21
488.56,479.00,490.98,476.56
480.95,483.02,483.53,475.00
482.15,482.80,486.92,482.15
483.65,486.33,487.33,482.09
484.85,487.01,489.94,483.64
487.96,493.80,494.40,487.96
490.10,490.36,491.19,487.19
490.00,490.89,492.92,487.85
489.26,493.44,494.40,489.26
491.49,489.78,493.09,489.17
490.70,486.00,492.44,485.03
485.34,483.00,485.97,479.00
481.65,486.05,486.19,480.29
470.06,436.24,470.21,434.01
438.95,433.95,438.95,425.17
432.75,430.98,435.89,430.42
431.70,431.79,436.08,427.04
434.58,430.05,435.84,430.05
431.02,429.25,433.59,428.14
429.98,428.30,431.35,428.10
429.34,433.42,434.38,427.33
437.01,439.02,440.54,434.98
442.65,439.99,442.65,438.67
443.03,447.50,448.86,440.15
449.45,443.25,449.45,442.61
445.15,451.20,454.15,444.19
453.60,455.00,456.69,450.01
459.80,462.29,464.56,458.35
460.87,459.13,461.59,455.00
460.72,460.92,461.74,458.00
460.60,461.41,461.84,458.46
460.96,459.30,463.57,459.06
462.14,467.67,469.25,459.42
467.25,463.03,467.25,461.95
464.36,466.99,467.36,464.36
467.94,469.73,470.19,465.52
470.25,474.80,475.41,468.71
473.71,476.00,477.61,472.01
473.75,473.08,476.24,470.76
472.75,474.55,475.09,472.09
474.00,470.46,474.00,470.08
471.99,476.13,478.99,469.49
478.91,478.32,483.00,475.96
479.00,480.00,480.97,476.54
486.00,488.69,491.96,481.23
487.98,495.00,495.86,485.42
493.43,492.09,495.44,490.51
494.00,496.70,496.76,492.15
496.40,492.85,496.40,492.77
491.30,490.15,491.80,489.02
492.40,492.25,492.40,489.41
492.75,491.10,493.17,488.80
491.75,491.89,491.89,489.11
492.50,494.10,494.39,489.60
496.15,489.62,496.15,487.65
488.73,491.20,492.12,487.26
491.55,491.79,492.98,488.70
492.38,486.89,493.30,486.89
487.43,492.16,494.86,485.26
491.69,487.50,491.69,487.12
486.16,483.45,489.90,482.31
479.50,485.02,485.24,477.00
483.43,484.35,485.01,480.64
486.12,488.50,491.48,486.11
488.66,487.50,489.80,484.09
486.64,488.50,490.00,486.04
490.06,494.20,494.20,489.69
495.00,500.98,501.97,492.57
503.34,502.50,504.05,499.42
504.10,503.07,505.48,501.50
505.00,504.85,505.00,502.67
505.00,508.80,509.73,503.16
507.25,508.06,508.06,504.43
507.90,508.41,509.24,506.25
509.10,508.85,510.05,506.60
507.99,503.07,507.99,501.80
504.74,505.35,506.91,502.63
503.00,504.10,507.22,502.95
504.99,506.15,506.34,503.91
504.19,502.74,504.19,502.20
502.76,503.50,505.22,501.62
502.76,505.15,505.15,501.76
505.87,509.11,510.32,505.50
510.05,512.00,518.59,507.20
512.37,515.90,515.90,511.54
510.00,509.62,511.57,508.88
510.92,514.10,516.69,508.78
515.99,514.59,516.46,512.63
514.58,516.97,517.63,513.20
516.13,525.90,529.91,515.91
525.39,527.53,529.07,522.69
527.29,516.90,527.29,511.26
519.00,521.56,523.44,517.40
519.98,518.40,523.01,517.28
