NWLI,National Western Life Group,NASDAQ
142.02,140.52,142.02,140.51
141.10,141.72,141.76,141.10
142.51,142.55,143.20,142.25
143.24,142.45,143.24,142.45
142.75,142.81,143.00,142.50
143.31,142.30,143.31,142.10
142.65,141.50,142.65,141.50
141.50,140.75,141.98,140.50
140.50,140.50,141.80,140.50
140.00,139.60,140.00,139.01
140.03,138.75,140.56,137.81
139.94,139.05,139.94,139.05
139.15,139.25,139.26,138.61
139.75,140.37,140.37,139.25
140.01,139.50,140.06,139.00
140.30,139.71,140.57,138.67
140.05,140.32,140.99,139.94
139.50,140.88,140.88,139.50
140.10,139.26,140.10,139.00
138.75,140.37,143.11,138.00
140.19,142.85,143.00,140.01
143.20,145.63,145.63,143.20
146.00,146.50,147.47,146.00
147.30,145.02,147.30,145.02
145.02,145.73,146.77,145.02
145.25,145.70,146.00,144.66
146.58,147.47,147.50,145.59
147.56,149.56,149.87,146.23
150.52,150.73,151.97,150.52
150.80,152.87,153.00,150.80
152.87,151.34,152.87,150.50
149.62,150.78,150.90,149.20
150.00,150.97,151.00,149.45
151.04,151.50,151.71,149.00
150.98,150.98,151.49,150.96
150.00,151.04,151.99,150.00
150.97,149.75,150.98,149.14
151.00,151.40,151.70,150.04
152.90,152.32,152.91,151.88
152.72,153.00,153.00,151.96
152.90,153.95,154.00,152.90
154.24,158.43,158.85,154.00
158.03,158.11,160.75,154.52
158.47,157.52,159.15,156.97
158.00,156.98,158.22,156.68
157.83,158.30,158.30,155.00
158.01,159.50,159.50,157.18
158.51,158.30,158.80,157.89
158.08,157.66,158.08,155.00
158.74,160.05,160.05,157.76
158.99,158.05,158.99,157.91
158.26,158.21,158.26,158.00
158.01,158.50,158.50,158.00
156.94,156.63,157.85,156.00
156.06,157.74,158.91,156.06
159.02,162.24,163.37,159.02
162.30,162.10,163.00,161.58
162.99,163.25,163.25,162.75
163.35,162.15,163.35,162.15
161.73,162.01,162.67,161.73
163.26,163.50,163.95,163.26
161.51,162.15,163.07,160.95
162.78,163.18,163.29,162.00
163.22,163.65,163.70,162.60
163.00,163.72,164.22,163.00
164.21,163.91,164.89,163.50
164.55,164.10,164.77,163.50
163.50,164.00,164.68,163.50
164.00,163.36,164.50,163.00
163.60,163.90,164.10,163.60
164.12,162.56,164.12,162.56
163.23,163.15,164.49,163.05
164.26,164.23,164.88,162.78
163.97,163.54,164.43,162.90
164.50,164.30,165.16,163.96
163.23,163.40,163.80,163.06
164.00,163.55,164.22,163.35
163.08,163.10,164.00,163.00
163.41,164.00,164.04,163.03
163.51,163.98,164.01,163.45
