SPY,SPDR S&P 500,NASDAQ
163.20,163.54,163.81,162.82
163.67,165.23,165.35,163.67
164.96,166.12,166.45,164.91
165.78,165.34,166.36,165.09
165.95,166.94,167.04,165.73
166.78,166.93,167.58,166.61
167.08,167.17,167.80,166.50
167.34,165.93,169.07,165.17
164.16,165.45,165.91,163.94
164.47,165.31,165.38,163.98
167.04,166.30,167.78,165.81
165.42,165.22,165.80,164.34
165.35,165.83,166.59,165.22
165.37,163.45,166.31,163.13
163.83,164.35,164.46,162.66
164.44,163.56,165.10,162.73
163.09,161.27,163.42,161.13
161.20,162.73,162.74,160.25
163.85,164.80,164.95,163.14
165.31,164.80,165.40,164.37
163.30,163.10,164.54,162.74
164.22,161.75,164.39,161.60
161.66,164.21,164.50,161.30
