ADS,Alliance Data Systems Corporation Common Stock,NASDAQ
158.42,158.93,159.29,157.26
159.28,158.96,159.98,158.26
159.62,159.61,160.00,158.62
159.36,158.48,159.36,157.55
158.98,157.85,159.20,157.32
157.70,157.82,158.63,157.21
157.67,156.81,158.48,156.77
157.10,156.89,157.65,156.52
157.41,157.83,158.11,157.00
157.74,157.84,158.52,157.45
156.90,156.57,158.18,156.34
157.08,156.74,157.81,155.92
157.50,156.20,157.99,155.89
155.35,156.50,157.22,154.76
157.03,157.46,157.87,156.46
157.91,157.62,159.41,157.22
158.18,157.94,159.06,156.45
157.13,159.71,160.25,156.81
159.71,161.89,162.07,159.23
161.54,160.37,163.25,159.80
160.36,159.84,161.11,159.30
159.60,158.41,160.11,157.41
158.40,158.02,159.32,157.43
156.94,155.35,157.04,154.64
155.42,155.05,155.97,153.76
155.91,154.32,155.91,152.80
154.75,156.22,157.20,154.73
156.50,158.51,158.68,156.15
158.12,157.87,158.49,156.80
156.20,155.93,157.46,155.58
156.22,157.64,157.70,155.21
157.16,157.10,158.24,156.37
158.25,158.34,161.50,157.27
158.78,160.07,160.43,157.73
160.32,164.96,165.77,159.85
165.91,166.42,167.51,165.50
166.38,165.85,167.00,165.29
166.29,166.19,167.25,165.46
166.07,166.89,167.34,165.70
167.13,168.44,169.12,167.07
168.26,171.77,171.77,168.01
170.49,170.44,171.63,169.57
167.45,172.54,172.82,167.45
174.86,173.95,175.45,172.84
173.79,172.66,174.49,172.04
173.12,173.49,174.40,172.48
173.47,174.34,174.37,172.85
174.22,176.43,177.45,173.76
176.50,177.19,177.56,175.89
177.13,176.05,177.84,175.50
175.45,177.23,177.92,175.45
176.77,178.64,178.84,176.22
178.43,177.36,179.99,177.21
177.35,178.08,178.89,177.32
178.08,179.62,180.54,177.81
179.66,180.88,182.26,179.66
181.21,179.03,182.72,178.20
178.14,178.44,179.41,175.77
180.00,181.63,182.36,179.01
182.75,183.03,185.32,182.10
181.50,181.13,183.09,180.52
181.12,180.97,181.40,177.93
180.27,177.09,181.16,177.04
177.74,174.03,178.39,173.42
174.41,176.66,178.49,174.28
176.25,173.58,176.55,173.37
173.46,178.31,178.39,173.46
178.53,178.37,180.46,177.25
