APDN,Applied DNA Sciences Inc - Common Stock,NASDAQ
14.79,11.99,14.94,11.65
12.44,12.90,13.26,10.80
13.17,13.37,13.50,12.29
12.74,12.61,13.43,12.30
13.50,13.20,13.98,12.91
13.44,12.90,13.68,12.90
13.00,12.47,13.14,12.19
12.69,12.00,12.90,12.00
12.30,11.46,12.60,11.46
12.09,10.44,12.30,10.32
10.38,11.22,11.69,10.32
11.28,11.10,11.70,10.26
11.10,10.26,11.16,10.23
10.31,11.40,11.82,10.26
11.85,12.30,12.60,11.70
13.11,12.36,13.14,12.03
13.42,12.60,13.44,12.18
13.26,13.80,13.80,12.33
13.76,14.40,14.87,13.26
14.64,14.40,15.11,13.83
14.25,13.46,14.64,12.90
13.50,13.38,13.80,12.66
13.62,13.32,14.10,12.84
13.32,13.80,14.10,12.81
13.98,12.90,14.34,12.90
13.35,12.84,14.28,12.72
13.00,13.02,13.20,12.66
13.02,12.12,13.11,12.01
12.39,12.00,12.84,11.76
12.00,12.60,12.87,12.00
12.98,14.04,14.10,12.67
14.60,15.84,15.90,14.22
16.46,14.10,16.50,12.24
13.41,13.65,14.03,13.32
13.91,12.72,14.39,12.30
12.69,12.48,13.20,12.13
12.93,12.34,13.68,12.34
12.46,12.48,12.96,12.18
13.08,13.20,13.38,12.48
13.48,14.17,14.48,13.48
14.40,13.98,14.56,13.69
13.08,12.78,14.10,12.60
12.79,12.78,13.44,12.78
13.62,13.50,13.80,12.78
13.71,13.38,14.04,13.21
13.20,12.90,13.79,12.78
12.90,12.48,13.14,12.19
12.39,12.54,12.72,12.37
12.34,13.08,13.32,12.33
13.08,12.84,13.44,12.60
12.87,13.74,13.74,12.84
