BLK,BlackRock,NASDAQ
238.50,236.82,238.80,234.57
236.64,238.16,238.69,235.75
238.18,239.45,239.92,237.31
239.00,238.86,241.02,238.73
240.20,242.52,243.03,239.75
242.37,245.57,245.65,242.36
246.75,242.95,247.00,242.37
243.42,244.12,245.36,242.66
243.54,239.12,243.98,239.00
238.16,236.22,238.50,235.30
238.00,240.87,240.88,238.00
242.70,236.50,243.66,236.50
238.09,236.15,239.21,234.34
236.03,241.07,241.63,235.05
240.94,239.75,242.11,239.56
238.17,236.83,238.17,233.80
236.23,241.27,241.38,236.00
242.24,244.39,244.61,238.29
245.77,249.57,250.00,245.77
250.45,248.47,251.70,248.28
250.10,248.27,251.02,247.44
248.27,247.87,248.44,246.28
248.08,249.44,250.29,247.71
250.34,253.70,254.00,249.50
254.89,256.04,257.77,254.11
255.07,256.74,256.80,254.26
254.11,255.25,256.53,253.43
255.08,253.18,256.36,250.69
255.25,258.70,259.57,255.25
256.28,253.00,259.19,252.81
253.52,253.13,254.52,252.12
255.00,251.82,257.33,251.44
252.80,258.41,258.68,252.04
257.20,256.57,257.60,254.88
257.36,256.88,258.66,255.26
256.50,252.96,256.85,252.47
253.41,257.44,257.88,253.21
257.83,248.23,258.00,247.34
248.22,251.11,251.15,247.60
247.23,245.79,248.00,241.04
245.72,249.38,249.41,244.10
251.91,254.04,255.56,249.72
255.43,260.77,260.78,254.96
261.35,264.14,265.57,261.35
262.95,263.13,264.98,262.10
260.00,253.86,262.46,253.78
257.77,257.22,257.90,251.48
254.55,251.03,255.43,249.02
251.01,245.30,251.18,243.58
246.46,250.16,250.46,246.12
251.24,250.51,251.58,247.38
252.50,259.48,259.97,251.94
259.94,258.67,260.73,257.67
259.87,263.57,264.33,259.26
262.61,263.77,264.62,262.20
264.16,268.21,268.74,263.32
268.46,266.50,269.81,265.78
265.38,260.94,266.50,260.69
261.69,262.35,263.41,260.98
265.68,271.34,271.60,265.14
271.55,274.35,275.21,270.24
274.54,275.55,275.82,272.41
